business_prob,popup,survey
0.0094608125,0,0
0.0001981292,0,0
0.0002035972,0,0
0.0006956735,0,0
0.0941691801,1,0
0.0000000000,0,0
0.2311165322,1,1
0.0000997681,0,0
0.0000997681,0,0
0.0000000000,0,0
0.1213148469,1,1
0.0740558024,0,0
0.0000000000,0,0
0.0010293827,0,0
0.1291751614,1,1
0.0597550841,0,0
0.0941698139,1,0
0.1174167789,1,1
0.0213624104,0,0
0.0009323813,0,0
0.0000433804,0,0
0.0301536515,0,0
0.0098072534,0,0
0.0081755335,0,0
0.1769183508,1,1
0.0002166063,0,0
0.0653260709,0,0
0.0001332409,0,0
0.0020632626,0,0
0.1094040227,1,1
0.1002001821,1,1
0.0661389458,0,0
0.5158676738,1,1
0.2880176877,1,1
0.2440313261,1,1
0.0680165818,0,0
0.0028410562,0,0
0.0001332409,0,0
0.0061065556,0,0
0.0089676102,0,0
0.0018408746,0,0
0.0000433804,0,0
0.1861921195,1,1
0.0122682915,0,0
0.0000664556,0,0
0.0305556884,0,0
0.0003517943,0,0
0.0623862519,0,0
0.0006956735,0,0
0.0794537206,0,0
0.2205930626,1,1
0.0186242382,0,0
0.1241788181,1,1
0.1198727444,1,1
0.0415823494,0,0
0.0000997681,0,0
0.0958559473,1,1
0.1128536451,1,1
0.0462086951,0,0
0.0854720844,0,0
0.0394257804,0,0
0.0002615184,0,0
0.0001621803,0,0
0.0014450505,0,0
0.0000000000,0,0
0.0120567610,0,0
0.1823947268,1,1
0.0000000000,0,0
0.1550008386,1,1
0.0094227588,0,0
0.1225233809,1,1
0.2220552271,1,1
0.0000000000,0,0
0.0033134878,0,0
0.0018978603,0,0
0.0000953950,0,0
0.3236232296,1,1
0.3017275281,1,1
0.0000433804,0,0
0.7593465283,1,1
0.0001621803,0,0
0.1197989017,1,1
0.0500805548,0,0
0.2000963021,1,1
0.0001287075,0,0
0.0394185369,0,0
0.0680258952,0,0
0.0527878193,0,0
0.0000077256,0,0
0.0007627079,0,0
0.0466380174,0,0
0.0932437618,1,0
0.8225935678,1,1
0.0000000000,0,0
0.1077123178,1,1
0.1740616230,1,1
0.0016041882,0,0
0.0000000000,0,0
0.0029224642,0,0
0.2345106939,1,1
0.2560297489,1,1
0.0018775353,0,0
0.0014116710,0,0
0.0001332409,0,0
0.0277147551,0,0
0.0000000000,0,0
0.0784900270,0,0
0.0000356549,0,0
0.3156194484,1,1
0.0536502948,0,0
0.3613378776,1,1
0.2571864592,1,1
0.0000000000,0,0
0.5172605111,1,1
0.0077748478,0,0
0.0872442573,1,0
0.0000000000,0,0
0.1854543825,1,1
0.0000000000,0,0
0.2208001573,1,1
0.1132393016,1,1
0.0983034866,1,1
0.2181074408,1,1
0.0001621803,0,0
0.0016041882,0,0
0.0001332409,0,0
0.1224403346,1,1
0.0965053383,1,1
0.0034202444,0,0
0.1585230914,1,1
0.0915094378,1,0
0.1290154284,1,1
0.0038765266,0,0
0.0001621803,0,0
0.0003517943,0,0
0.0001332409,0,0
0.0013778492,0,0
0.1297881684,1,1
0.0000000000,0,0
0.0808536795,0,0
0.3428205939,1,1
0.0000664556,0,0
0.0635219305,0,0
0.0004194684,0,0
0.1759006267,1,1
0.1091935898,1,1
0.1917401382,1,1
0.0090889681,0,0
0.0672584763,0,0
0.0748751518,0,0
0.0000077256,0,0
0.0090767895,0,0
0.0001981292,0,0
0.0002525552,0,0
0.0002148688,0,0
0.2305930332,1,1
0.0001621803,0,0
0.0004454318,0,0
0.0558854367,0,0
0.1238075379,1,1
0.0001332409,0,0
0.1083290098,1,1
0.1891634760,1,1
0.0032137856,0,0
0.0392508678,0,0
0.0921820145,1,0
0.0905240990,1,0
0.0003350546,0,0
0.0015708087,0,0
0.0168795823,0,0
0.0165718239,0,0
0.0000000000,0,0
0.0090806018,0,0
0.0815181542,0,0
0.0002525552,0,0
0.1197626204,1,1
0.3078074939,1,1
0.0003527365,0,0
0.0158315968,0,0
0.0049497091,0,0
0.0013162769,0,0
0.0001621803,0,0
0.0000000000,0,0
0.0001691898,0,0
0.1341233043,1,1
0.3106441178,1,1
0.0002335850,0,0
0.0022825391,0,0
0.0001621803,0,0
0.0014116710,0,0
0.0000077256,0,0
0.0000997681,0,0
0.0000000000,0,0
0.0000000000,0,0
0.1624580184,1,1
0.0001621803,0,0
0.4280575741,1,1
0.2058777761,1,1
0.2940996908,1,1
0.0161002164,0,0
0.1224822909,1,1
0.2731196930,1,1
0.0004194684,0,0
0.0033046462,0,0
0.0971510908,1,1
0.0000000000,0,0
0.0001621803,0,0
0.0481704559,0,0
0.1241437168,1,1
0.1100377258,1,1
0.0000000000,0,0
0.1871250840,1,1
0.0000997681,0,0
0.0000000000,0,0
0.0000000000,0,0
0.6050068076,1,1
0.1565342274,1,1
0.0000000000,0,0
0.0000997681,0,0
0.0623510128,0,0
0.0027193771,0,0
0.0001332409,0,0
0.3473202848,1,1
0.0000000000,0,0
0.0000997681,0,0
0.0000077256,0,0
0.0417774112,0,0
0.1962367424,1,1
0.0947832089,1,1
0.0000000000,0,0
0.2584710271,1,1
0.0000000000,0,0
0.1513713612,1,1
0.1381617274,1,1
0.0024742012,0,0
0.7858707535,1,1
0.1449929096,1,1
0.2230270577,1,1
0.1001146511,1,1
0.0001621803,0,0
0.0610016593,0,0
0.0126458567,0,0
0.0000077256,0,0
0.0879573761,1,0
0.0000000000,0,0
0.0000997681,0,0
0.0015566260,0,0
0.2675271008,1,1
0.1038955517,1,1
0.0001621803,0,0
0.0496274726,0,0
0.1138460150,1,1
0.0429304063,0,0
0.0000077256,0,0
0.0006956735,0,0
0.0006956735,0,0
0.0325225932,0,0
0.0000077256,0,0
0.1291706321,1,1
0.0001981292,0,0
0.0016041882,0,0
0.0758442068,0,0
0.0722826241,0,0
0.0000077256,0,0
0.2324198043,1,1
0.0072768804,0,0
0.2341431916,1,1
0.0217832405,0,0
0.1289239836,1,1
0.4043502557,1,1
0.0552216974,0,0
0.0006956735,0,0
0.1615799435,1,1
0.0122666817,0,0
0.0057175348,0,0
0.5252532302,1,1
0.0000997681,0,0
0.0000000000,0,0
0.2986000349,1,1
0.0000664556,0,0
0.0003224947,0,0
0.0000308007,0,0
0.0921426092,1,0
0.0000433804,0,0
0.0015303399,0,0
0.0000000000,0,0
0.0122666817,0,0
0.1691222783,1,1
0.0109925284,0,0
0.0001332409,0,0
0.0023901221,0,0
0.0000000000,0,0
0.0044026162,0,0
0.0000000000,0,0
0.0000000000,0,0
0.0007944801,0,0
0.0836926002,0,0
0.0000000000,0,0
0.2060270732,1,1
0.0012187115,0,0
0.0045868523,0,0
0.0300524709,0,0
0.0018327751,0,0
0.0000000000,0,0
0.0000000000,0,0
0.0094879430,0,0
0.0054863368,0,0
0.1009194324,1,1
0.0000997681,0,0
0.2999589381,1,1
0.2026445157,1,1
0.1986188974,1,1
0.1653374770,1,1
0.0062635069,0,0
0.0105153886,0,0
0.0306437522,0,0
0.0001621803,0,0
0.0000433804,0,0
0.0853661909,0,0
0.0000000000,0,0
0.0332450041,0,0
0.0646817608,0,0
0.1045214193,1,1
0.1269101131,1,1
0.0000997681,0,0
0.0004007522,0,0
0.0013480491,0,0
0.0441569478,0,0
0.0000000000,0,0
0.0005862387,0,0
0.0024877195,0,0
0.0027193771,0,0
0.0034835256,0,0
0.0001691898,0,0
0.0000000000,0,0
0.0001621803,0,0
0.0791942441,0,0
0.0699910711,0,0
0.0006441598,0,0
0.0002516129,0,0
0.0060800551,0,0
0.0347165757,0,0
0.0000000000,0,0
0.0911431810,1,0
0.0016408490,0,0
0.0304221075,0,0
0.0001621803,0,0
0.2831972331,1,1
0.0156808158,0,0
0.0000308007,0,0
0.0001621803,0,0
0.1309093731,1,1
0.0727828058,0,0
0.0000664556,0,0
0.0000433804,0,0
0.1206953814,1,1
0.1894323034,1,1
0.1103373921,1,1
0.0372553822,0,0
0.0240449759,0,0
0.2398950839,1,1
0.0292202208,0,0
0.0000664556,0,0
0.0004506317,0,0
0.0000000000,0,0
0.0002035972,0,0
0.0000997681,0,0
0.1084851897,1,1
0.2168110014,1,1
0.1227523214,1,1
0.0000664556,0,0
0.2600641958,1,1
0.0000077256,0,0
0.0147430402,0,0
0.1560895157,1,1
0.0006956735,0,0
0.0001981292,0,0
0.1288386589,1,1
0.0001621803,0,0
0.0487353784,0,0
0.0000000000,0,0
0.0759140967,0,0
0.0001691898,0,0
0.0000308007,0,0
0.0002035972,0,0
0.0000000000,0,0
0.0722554061,0,0
0.0000000000,0,0
0.0006956735,0,0
0.0096839312,0,0
0.1405516643,1,1
0.0853473834,0,0
0.0000077256,0,0
0.0002035972,0,0
0.2901281037,1,1
0.1681862667,1,1
0.0942428206,1,0
0.0000077256,0,0
0.1115015978,1,1
0.0000433804,0,0
0.3476459321,1,1
0.2202562428,1,1
0.3683048207,1,1
0.0460170763,0,0
0.0465227075,0,0
0.0036982425,0,0
0.0003714527,0,0
0.0000664556,0,0
0.0008898607,0,0
0.0301402978,0,0
0.0256120173,0,0
0.1912388270,1,1
0.0458263519,0,0
0.1478677215,1,1
0.2233767521,1,1
0.0095261074,0,0
0.9686921529,1,1
0.0001981292,0,0
0.0000997681,0,0
0.0000997681,0,0
0.0000077256,0,0
0.0805775949,0,0
0.0000000000,0,0
0.0109592844,0,0
0.0000000000,0,0
0.1958468305,1,1
0.0424572954,0,0
0.0950522075,1,1
0.0035765634,0,0
0.1770804660,1,1
0.0086118283,0,0
0.2195718964,1,1
0.0000000000,0,0
0.0678420918,0,0
0.1766571257,1,1
0.1323043446,1,1
0.0000000000,0,0
0.0000000000,0,0
0.1299986659,1,1
0.0668656552,0,0
0.0064958767,0,0
0.0013480491,0,0
0.7274615156,1,1
0.0000308007,0,0
0.1877917058,1,1
0.1210882772,1,1
0.0681062892,0,0
0.0013480491,0,0
0.0002525552,0,0
0.0004007522,0,0
0.0721356218,0,0
0.0007627079,0,0
0.4944651221,1,1
0.0031161882,0,0
0.0007944801,0,0
0.0225545385,0,0
0.1031437159,1,1
0.1358197845,1,1
0.0002035972,0,0
0.0000997681,0,0
0.0000433804,0,0
0.0325409128,0,0
0.0001332409,0,0
0.0000664556,0,0
0.0000000000,0,0
0.0409450392,0,0
0.1198390813,1,1
0.0821667962,0,0
0.1393751802,1,1
0.1232228653,1,1
0.0036639262,0,0
0.0392219193,0,0
0.0042835116,0,0
0.0906414766,1,0
0.0283385340,0,0
0.0000000000,0,0
0.0030408496,0,0
0.1116899614,1,1
0.0000997681,0,0
0.0000000000,0,0
0.0000077256,0,0
0.0519047319,0,0
0.1264759040,1,1
0.0001691898,0,0
0.0000000000,0,0
0.1132170915,1,1
0.0001287075,0,0
0.1341763625,1,1
0.0000997681,0,0
0.1036550942,1,1
0.0945437683,1,0
0.0033354647,0,0
0.0000000000,0,0
0.3340113137,1,1
0.0000000000,0,0
0.0000000000,0,0
0.0033354647,0,0
0.0016408490,0,0
0.0000000000,0,0
0.7169392246,1,1
0.1985784822,1,1
0.2330956662,1,1
0.0000000000,0,0
0.0003527365,0,0
0.0001332409,0,0
0.0056051106,0,0
0.1103000754,1,1
0.0000664556,0,0
0.0000000000,0,0
0.0000077256,0,0
0.1437709420,1,1
0.2251392614,1,1
0.0000664556,0,0
0.0012099429,0,0
0.0060344424,0,0
0.1143127072,1,1
0.0001621803,0,0
0.2356648621,1,1
0.0000000000,0,0
0.2262607643,1,1
0.0147902145,0,0
0.1587037791,1,1
0.0962657271,1,1
0.0002870389,0,0
0.1925975427,1,1
0.0002035972,0,0
0.0024877195,0,0
0.0001621803,0,0
0.0764162537,0,0
0.0843556579,0,0
0.0002111383,0,0
0.0002525552,0,0
0.1999948335,1,1
0.0000000000,0,0
0.0022339961,0,0
0.2472878498,1,1
0.0006849251,0,0
0.4424147710,1,1
0.7078961537,1,1
0.0968214533,1,1
0.0000077256,0,0
0.1495891775,1,1
0.0000997681,0,0
0.2144910812,1,1
0.0000000000,0,0
0.0412331615,0,0
0.4577979732,1,1
0.0032725072,0,0
0.1775934990,1,1
0.0045265483,0,0
0.0002111383,0,0
0.0001621803,0,0
0.0000000000,0,0
0.1928396400,1,1
0.0036052046,0,0
0.1976172652,1,1
0.0001676483,0,0
0.0110827647,0,0
0.1069889976,1,1
0.1999311639,1,1
0.0919334375,1,0
0.0446212685,0,0
0.0429716273,0,0
0.0013480491,0,0
0.0001332409,0,0
0.0001981292,0,0
0.0154312402,0,0
0.3647741248,1,1
0.5061434363,1,1
0.1006819337,1,1
0.2049193924,1,1
0.0060422470,0,0
0.0001621803,0,0
0.0024877195,0,0
0.0921077712,1,0
0.0000308007,0,0
0.0000000000,0,0
0.0013032277,0,0
0.2431078552,1,1
0.0047672138,0,0
0.1319761888,1,1
0.0696028085,0,0
0.1381682635,1,1
0.0090967750,0,0
0.0661764593,0,0
0.0661937707,0,0
0.0000000000,0,0
0.3376514838,1,1
0.0020221040,0,0
0.0000000000,0,0
0.0129223535,0,0
0.2514885749,1,1
0.1644553315,1,1
0.0399122371,0,0
0.0000000000,0,0
0.1302445712,1,1
0.0021482809,0,0
0.1182088801,1,1
0.0461882541,0,0
0.0013146696,0,0
0.2173728703,1,1
0.0006849251,0,0
0.0157984019,0,0
0.0000000000,0,0
0.0168218067,0,0
0.0552206120,0,0
0.0016109340,0,0
0.0000000000,0,0
0.0910500225,1,0
0.0012737698,0,0
0.0103843551,0,0
0.0001676483,0,0
0.0000664556,0,0
0.0032007028,0,0
0.0985734927,1,1
0.0084714421,0,0
0.1862733710,1,1
0.0662055227,0,0
0.0001332409,0,0
0.0009723670,0,0
0.0000000000,0,0
0.0566554796,0,0
0.0019489356,0,0
0.1442899013,1,1
0.1024956949,1,1
0.0000000000,0,0
0.0873646349,1,0
0.0000433804,0,0
0.0856281734,0,0
0.0000000000,0,0
0.0001621803,0,0
0.1990530352,1,1
0.2838661828,1,1
0.0632327791,0,0
0.0000000000,0,0
0.0000997681,0,0
0.0027780987,0,0
0.2146618235,1,1
0.0017854176,0,0
0.0212630697,0,0
0.0000997681,0,0
0.0389580011,0,0
0.2053859415,1,1
0.8330859854,1,1
0.1412585324,1,1
0.0000433804,0,0
0.0000000000,0,0
0.2126909128,1,1
0.0911431810,1,0
0.0002260626,0,0
0.0009323813,0,0
0.0678927741,0,0
0.0006849251,0,0
0.0000077256,0,0
0.0013480491,0,0
0.0001621803,0,0
0.0000077256,0,0
0.0659355645,0,0
0.0065032159,0,0
0.1248631696,1,1
0.0240150706,0,0
0.0002203368,0,0
0.0011587202,0,0
0.0000000000,0,0
0.0002825430,0,0
0.0001332409,0,0
0.0001621803,0,0
0.0000997681,0,0
0.0000433804,0,0
0.1328545197,1,1
0.0000433804,0,0
0.0103926080,0,0
0.0020221040,0,0
0.0000000000,0,0
0.1013137621,1,1
0.3448579384,1,1
0.3727402362,1,1
0.1929926009,1,1
0.0000766930,0,0
0.0000000000,0,0
0.0651028669,0,0
0.1411779970,1,1
0.1309013632,1,1
0.0001332409,0,0
0.0201044751,0,0
0.0364324795,0,0
0.1317613927,1,1
0.2011293134,1,1
0.0000664556,0,0
0.0120567610,0,0
0.0000433804,0,0
0.2183044090,1,1
0.1609653287,1,1
0.0000664556,0,0
0.2399018386,1,1
0.0000997681,0,0
0.0000664556,0,0
0.2013339873,1,1
0.0005327847,0,0
0.0001676483,0,0
0.1538875273,1,1
0.0000000000,0,0
0.0000077256,0,0
0.0002335850,0,0
0.1986832244,1,1
0.0000077256,0,0
0.1131454301,1,1
0.0000433804,0,0
0.0164728962,0,0
0.0313910029,0,0
0.0003705104,0,0
0.0003262439,0,0
0.1603280795,1,1
0.1297205123,1,1
0.0001981292,0,0
0.0000000000,0,0
0.2196378282,1,1
0.0024360524,0,0
0.0060344424,0,0
0.0514513084,0,0
0.0000997681,0,0
0.0010599137,0,0
0.0000077256,0,0
0.0000000000,0,0
0.0027193771,0,0
0.0932148261,1,0
0.1372751742,1,1
0.1527052153,1,1
0.0122682915,0,0
0.0518961551,0,0
0.0014116710,0,0
0.0093645575,0,0
0.2518187300,1,1
0.0000000000,0,0
0.0011102681,0,0
0.0000000000,0,0
0.0204789270,0,0
0.0085647654,0,0
0.0030478387,0,0
0.0023019923,0,0
0.0001332409,0,0
0.1050561866,1,1
0.0033633678,0,0
0.0002203368,0,0
0.0000997681,0,0
0.0002516129,0,0
0.3745223765,1,1
0.0002525552,0,0
0.0000000000,0,0
0.0000997681,0,0
0.1679609614,1,1
0.0000077256,0,0
0.0076988080,0,0
0.0235417156,0,0
0.0001332409,0,0
0.0000000000,0,0
0.0000077256,0,0
0.1547006793,1,1
0.0001287075,0,0
0.0002615184,0,0
0.0000356549,0,0
0.1221371994,1,1
0.1621265672,1,1
0.2904630791,1,1
0.0024877195,0,0
0.3350930017,1,1
0.0016829811,0,0
0.0016181663,0,0
0.0007944801,0,0
0.0401084465,0,0
0.0000000000,0,0
0.0000000000,0,0
0.1256115523,1,1
0.0199151273,0,0
0.1219501449,1,1
0.0002035972,0,0
0.0013162769,0,0
0.2258139156,1,1
0.0103763194,0,0
0.2080074755,1,1
0.0000997681,0,0
0.0899559179,1,0
0.0020221040,0,0
0.0000077256,0,0
0.0000000000,0,0
0.6808191644,1,1
0.0814186391,0,0
0.3092040531,1,1
0.0004454318,0,0
0.0978083946,1,1
0.0016408490,0,0
0.0001387089,0,0
0.0752518886,0,0
0.0011587202,0,0
0.1722128959,1,1
0.0093136492,0,0
0.0104011971,0,0
0.1558501850,1,1
0.0234809241,0,0
0.0072377146,0,0
0.0150522822,0,0
0.1564987022,1,1
0.6196430390,1,1
0.0001621803,0,0
0.0696753532,0,0
0.2089047689,1,1
0.0001621803,0,0
0.0685016812,0,0
0.0002166063,0,0
0.0000766930,0,0
0.0872442573,1,0
0.0000000000,0,0
0.1343991236,1,1
0.0002111383,0,0
0.0000997681,0,0
0.0216444816,0,0
0.0000000000,0,0
0.1494634941,1,1
0.0705437718,0,0
0.0018512233,0,0
0.0000000000,0,0
0.0000433804,0,0
0.0154802079,0,0
0.3531772301,1,1
0.3294058054,1,1
0.0045265483,0,0
0.0475497111,0,0
0.3549145373,1,1
0.0001621803,0,0
0.0001981292,0,0
0.0605586716,0,0
0.0000000000,0,0
0.0001621803,0,0
0.0000997681,0,0
0.0781444396,0,0
0.1330164526,1,1
0.0034835256,0,0
0.2199254346,1,1
0.0025336498,0,0
0.3099469343,1,1
0.0000000000,0,0
0.0014817113,0,0
0.0198692097,0,0
0.0006334114,0,0
0.0001332409,0,0
0.1166773294,1,1
0.0000000000,0,0
0.0274591371,0,0
0.0005442383,0,0
0.0015708087,0,0
0.0002525552,0,0
0.0001332409,0,0
0.0000000000,0,0
0.0498287175,0,0
0.0010293827,0,0
0.0047608478,0,0
0.1068017224,1,1
0.0000000000,0,0
0.0000433804,0,0
0.0036982425,0,0
0.1150027170,1,1
0.1853803334,1,1
0.0042491953,0,0
0.1039090471,1,1
0.0000000000,0,0
0.0027193771,0,0
0.1043527623,1,1
0.0001332409,0,0
0.0001621803,0,0
0.0992451332,1,1
0.2248240783,1,1
0.2443406403,1,1
0.0000077256,0,0
0.0006697101,0,0
0.0013778492,0,0
0.0000077256,0,0
0.0001621803,0,0
0.0133441344,0,0
0.0000000000,0,0
0.1681088709,1,1
0.1141587095,1,1
0.0000433804,0,0
0.0000077256,0,0
0.0743096263,0,0
0.1869788136,1,1
0.0061069996,0,0
0.0000000000,0,0
0.2398340011,1,1
0.0091270438,0,0
0.0001024045,0,0
0.0000000000,0,0
0.1995427412,1,1
0.1910645683,1,1
0.0038168939,0,0
0.0799225554,0,0
0.3375042576,1,1
0.3269858414,1,1
0.0109592844,0,0
0.1439811888,1,1
0.1333247179,1,1
0.0016699938,0,0
0.2961029385,1,1
0.0023054287,0,0
0.0000723199,0,0
0.1979285629,1,1
0.0000000000,0,0
0.0689680028,0,0
0.0052530499,0,0
0.0001981292,0,0
0.0308072097,0,0
0.0000077256,0,0
0.0000308007,0,0
0.1775146771,1,1
0.0314525953,0,0
0.0001024045,0,0
0.0002470872,0,0
0.0193511626,0,0
0.0036052046,0,0
0.2833474823,1,1
0.0000077256,0,0
0.0099214449,0,0
0.0028410562,0,0
0.0079511093,0,0
0.0000308007,0,0
0.0027193771,0,0
0.0477766362,0,0
0.0000000000,0,0
0.2537022465,1,1
0.0399122371,0,0
0.0000997681,0,0
0.0000000000,0,0
0.0296870259,0,0
0.0000433804,0,0
0.3674933586,1,1
0.0014116710,0,0
0.0032137856,0,0
0.0014924080,0,0
0.0122682915,0,0
0.0000664556,0,0
0.1411095585,1,1
0.4826016355,1,1
0.0001981292,0,0
0.0000000000,0,0
0.2440302211,1,1
0.1578572021,1,1
0.1862646485,1,1
0.0122666817,0,0
0.0601864438,0,0
0.0552206120,0,0
0.0559498114,0,0
0.0001332409,0,0
0.0000000000,0,0
0.0000308007,0,0
0.0007944801,0,0
0.0551756591,0,0
0.0001621803,0,0
0.0000997681,0,0
0.0000000000,0,0
0.2573499581,1,1
0.0001981292,0,0
0.0002035972,0,0
0.3194172884,1,1
0.0013729550,0,0
0.0011253408,0,0
0.0786346259,0,0
0.1731948386,1,1
0.0051252871,0,0
0.0007685167,0,0
0.1996547798,1,1
0.0569986085,0,0
0.6274077428,1,1
0.1491281046,1,1
0.0000433804,0,0
0.0002260626,0,0
0.0000000000,0,0
0.0002035972,0,0
0.0382577671,0,0
0.0000997681,0,0
0.0010208190,0,0
0.0055521020,0,0
0.2208927078,1,1
0.1418010909,1,1
0.0972285646,1,1
0.0219079741,0,0
0.0001335349,0,0
0.0000308007,0,0
0.0000664556,0,0
0.0018074951,0,0
0.1525440822,1,1
0.1805026203,1,1
0.0006956735,0,0
0.0514362762,0,0
0.0000000000,0,0
0.0001691898,0,0
0.0000000000,0,0
0.0003037785,0,0
0.0014450505,0,0
0.0566106339,0,0
0.0000077256,0,0
0.0006849251,0,0
0.0018775353,0,0
0.0000000000,0,0
0.0531133052,0,0
0.1945013346,1,1
0.0000433804,0,0
0.0000000000,0,0
0.0001870243,0,0
0.0000000000,0,0
0.0000000000,0,0
0.0959243588,1,1
0.0000664556,0,0
0.0017854176,0,0
0.1928901370,1,1
0.0122666817,0,0
0.0006216944,0,0
0.0000000000,0,0
0.0001332409,0,0
0.0032137856,0,0
0.0174727604,0,0
0.0001287075,0,0
0.2582823747,1,1
0.0941207117,1,0
0.0153133457,0,0
0.0383807425,0,0
0.2100788460,1,1
0.0000997681,0,0
0.0036890762,0,0
0.2897686945,1,1
0.0170478096,0,0
0.0760690517,0,0
0.0000077256,0,0
0.2075127573,1,1
0.2682056585,1,1
0.0000433804,0,0
0.0646320934,0,0
0.0020221040,0,0
0.0067075250,0,0
0.0000953950,0,0
0.1405295343,1,1
